"module name","license","repository"
"@jridgewell/source-map@0.3.6","MIT","https://github.com/jridgewell/source-map"
"@jridgewell/sourcemap-codec@1.5.0","MIT","https://github.com/jridgewell/sourcemap-codec"
"@jridgewell/trace-mapping@0.3.25","MIT","https://github.com/jridgewell/trace-mapping"
"@js-sdsl/ordered-map@4.4.2","MIT","https://github.com/js-sdsl/js-sdsl"
"@jsdevtools/ono@7.1.3","MIT","https://github.com/JS-DevTools/ono"
"@koa/router@12.0.2","MIT","https://github.com/koajs/router"
"@kwsites/file-exists@1.1.1","MIT","https://github.com/kwsites/file-exists"
"@kwsites/promise-deferred@1.1.1","MIT","https://github.com/kwsites/promise-deferred"
"@manypkg/find-root@1.1.0","MIT",""
"@manypkg/get-packages@1.1.3","MIT",""
"@mapbox/node-pre-gyp@2.0.0","BSD-3-Clause","https://github.com/mapbox/node-pre-gyp"
"@miyaneee/rollup-plugin-json5@1.2.0","MIT","https://github.com/Miyaneee/rollup-plugin-json5"
"@netlify/functions@2.8.2","MIT","https://github.com/netlify/functions"
"@netlify/node-cookies@0.1.0","MIT","https://github.com/netlify/node-cookies"
"@netlify/serverless-functions-api@1.26.1","MIT","https://github.com/netlify/serverless-functions-api"
"@nodelib/fs.scandir@2.1.5","MIT","https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.scandir"
"@nodelib/fs.scandir@4.0.1","MIT","https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.scandir"
"@nodelib/fs.stat@2.0.5","MIT","https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.stat"
"@nodelib/fs.stat@4.0.0","MIT","https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.stat"
"@nodelib/fs.walk@1.2.8","MIT","https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.walk"
"@nodelib/fs.walk@3.0.1","MIT","https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.walk"
"@nuxt/cli@3.22.4","MIT","https://github.com/nuxt/cli"
"@nuxt/devalue@2.0.2","MIT","https://github.com/nuxt/devalue"
"@nuxt/devtools-kit@1.7.0","MIT","https://github.com/nuxt/devtools"
"@nuxt/devtools-kit@2.2.1","MIT","https://github.com/nuxt/devtools"
"@nuxt/devtools-wizard@1.7.0","MIT","https://github.com/nuxt/devtools"
"@nuxt/devtools@1.7.0","MIT","https://github.com/nuxt/devtools"
"@nuxt/eslint-config@1.2.0","MIT","https://github.com/nuxt/eslint"
"@nuxt/eslint-plugin@1.2.0","MIT","https://github.com/nuxt/eslint"
"@nuxt/eslint@1.2.0","MIT","https://github.com/nuxt/eslint"
"@nuxt/fonts@0.11.0","MIT","https://github.com/nuxt/fonts"
"@nuxt/image@1.9.0","MIT","https://github.com/nuxt/image"
"@nuxt/kit@3.15.4","MIT","https://github.com/nuxt/nuxt"
"@nuxt/schema@3.15.4","MIT","https://github.com/nuxt/nuxt"
"@nuxt/telemetry@2.6.5","MIT","https://github.com/nuxt/telemetry"
"@nuxt/test-utils@3.17.1","MIT","https://github.com/nuxt/test-utils"
"@nuxt/test-utils@3.17.2","MIT","https://github.com/nuxt/test-utils"
"@nuxt/vite-builder@3.15.4","MIT","https://github.com/nuxt/nuxt"
"@nuxtjs/i18n@9.1.1","MIT","https://github.com/nuxt-modules/i18n"
"@nuxtjs/tailwindcss@6.13.2","MIT","https://github.com/nuxt-modules/tailwindcss"
"@oclif/core@3.27.0","MIT","https://github.com/oclif/core"
"@oclif/core@4.2.8","MIT","https://github.com/oclif/core"
"@oclif/plugin-help@6.2.26","MIT","https://github.com/oclif/plugin-help"
"@one-ini/wasm@0.1.1","MIT","https://github.com/one-ini/core"
"@opentelemetry/api-logs@0.52.1","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js"
"@opentelemetry/api-logs@0.57.2","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js"
"@opentelemetry/api@1.9.0","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js"
"@opentelemetry/auto-instrumentations-node@0.56.1","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js-contrib"
"@opentelemetry/context-async-hooks@1.25.1","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js"
"@opentelemetry/context-async-hooks@1.30.1","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js"
"@opentelemetry/core@1.25.1","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js"
"@opentelemetry/core@1.30.1","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js"
"@opentelemetry/exporter-logs-otlp-grpc@0.57.2","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js"
"@opentelemetry/exporter-logs-otlp-http@0.57.2","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js"
"@opentelemetry/exporter-logs-otlp-proto@0.57.2","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js"
"@opentelemetry/exporter-metrics-otlp-grpc@0.57.2","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js"
"@opentelemetry/exporter-metrics-otlp-http@0.57.2","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js"
"@opentelemetry/exporter-metrics-otlp-proto@0.57.2","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js"
"@opentelemetry/exporter-prometheus@0.57.2","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js"
"@opentelemetry/exporter-trace-otlp-grpc@0.52.1","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js"
"@opentelemetry/exporter-trace-otlp-grpc@0.57.2","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js"
"@opentelemetry/exporter-trace-otlp-http@0.52.1","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js"
"@opentelemetry/exporter-trace-otlp-http@0.57.2","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js"
"@opentelemetry/exporter-trace-otlp-proto@0.52.1","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js"
"@opentelemetry/exporter-trace-otlp-proto@0.57.2","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js"
"@opentelemetry/exporter-zipkin@1.25.1","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js"
"@opentelemetry/exporter-zipkin@1.30.1","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js"
"@opentelemetry/instrumentation-amqplib@0.46.1","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js-contrib"
"@opentelemetry/instrumentation-aws-lambda@0.50.3","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js-contrib"
"@opentelemetry/instrumentation-aws-sdk@0.49.1","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js-contrib"
"@opentelemetry/instrumentation-bunyan@0.45.1","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js-contrib"
"@opentelemetry/instrumentation-cassandra-driver@0.45.1","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js-contrib"
"@opentelemetry/instrumentation-connect@0.43.1","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js-contrib"
"@opentelemetry/instrumentation-cucumber@0.14.1","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js-contrib"
"@opentelemetry/instrumentation-dataloader@0.16.1","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js-contrib"
"@opentelemetry/instrumentation-dns@0.43.1","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js-contrib"
"@opentelemetry/instrumentation-express@0.47.1","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js-contrib"
"@opentelemetry/instrumentation-fastify@0.44.2","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js-contrib"
"@opentelemetry/instrumentation-fs@0.19.1","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js-contrib"
"@opentelemetry/instrumentation-generic-pool@0.43.1","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js-contrib"
"@opentelemetry/instrumentation-graphql@0.47.1","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js-contrib"
"@opentelemetry/instrumentation-grpc@0.57.2","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js"
"@opentelemetry/instrumentation-hapi@0.45.2","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js-contrib"
"@opentelemetry/instrumentation-http@0.57.2","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js"
"@opentelemetry/instrumentation-ioredis@0.47.1","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js-contrib"
"@opentelemetry/instrumentation-kafkajs@0.7.1","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js-contrib"
"@opentelemetry/instrumentation-knex@0.44.1","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js-contrib"
"@opentelemetry/instrumentation-koa@0.47.1","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js-contrib"
"@opentelemetry/instrumentation-lru-memoizer@0.44.1","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js-contrib"
"@opentelemetry/instrumentation-memcached@0.43.1","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js-contrib"
"@opentelemetry/instrumentation-mongodb@0.52.0","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js-contrib"
"@opentelemetry/instrumentation-mongoose@0.46.1","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js-contrib"
"@opentelemetry/instrumentation-mysql2@0.45.2","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js-contrib"
"@opentelemetry/instrumentation-mysql@0.45.1","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js-contrib"
"@opentelemetry/instrumentation-nestjs-core@0.44.1","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js-contrib"
"@opentelemetry/instrumentation-net@0.43.1","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js-contrib"
"@opentelemetry/instrumentation-pg@0.51.1","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js-contrib"
"@opentelemetry/instrumentation-pino@0.46.1","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js-contrib"
"@opentelemetry/instrumentation-redis-4@0.46.1","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js-contrib"
"@opentelemetry/instrumentation-redis@0.46.1","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js-contrib"
"@opentelemetry/instrumentation-restify@0.45.1","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js-contrib"
"@opentelemetry/instrumentation-router@0.44.1","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js-contrib"
"@opentelemetry/instrumentation-socket.io@0.46.1","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js-contrib"
"@opentelemetry/instrumentation-tedious@0.18.1","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js-contrib"
"@opentelemetry/instrumentation-undici@0.10.1","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js-contrib"
"@opentelemetry/instrumentation-winston@0.44.1","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js-contrib"
"@opentelemetry/instrumentation@0.52.1","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js"
"@opentelemetry/instrumentation@0.57.2","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js"
"@opentelemetry/otlp-exporter-base@0.52.1","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js"
"@opentelemetry/otlp-exporter-base@0.57.2","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js"
"@opentelemetry/otlp-grpc-exporter-base@0.52.1","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js"
"@opentelemetry/otlp-grpc-exporter-base@0.57.2","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js"
"@opentelemetry/otlp-transformer@0.52.1","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js"
"@opentelemetry/otlp-transformer@0.57.2","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js"
"@opentelemetry/propagation-utils@0.30.16","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js-contrib"
"@opentelemetry/propagator-b3@1.25.1","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js"
"@opentelemetry/propagator-b3@1.30.1","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js"
"@opentelemetry/propagator-jaeger@1.25.1","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js"
"@opentelemetry/propagator-jaeger@1.30.1","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js"
"@opentelemetry/redis-common@0.36.2","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js-contrib"
"@opentelemetry/resource-detector-alibaba-cloud@0.30.1","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js-contrib"
"@opentelemetry/resource-detector-aws@1.12.0","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js-contrib"
"@opentelemetry/resource-detector-azure@0.6.1","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js-contrib"
"@opentelemetry/resource-detector-container@0.6.1","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js-contrib"
"@opentelemetry/resource-detector-gcp@0.33.1","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js-contrib"
"@opentelemetry/resources@1.25.1","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js"
"@opentelemetry/resources@1.30.1","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js"
"@opentelemetry/sdk-logs@0.52.1","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js"
"@opentelemetry/sdk-logs@0.57.2","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js"
"@opentelemetry/sdk-metrics@1.25.1","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js"
"@opentelemetry/sdk-metrics@1.30.1","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js"
"@opentelemetry/sdk-node@0.52.1","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js"
"@opentelemetry/sdk-node@0.57.2","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js"
"@opentelemetry/sdk-trace-base@1.25.1","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js"
"@opentelemetry/sdk-trace-base@1.30.1","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js"
"@opentelemetry/sdk-trace-node@1.25.1","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js"
"@opentelemetry/sdk-trace-node@1.30.1","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js"
"@opentelemetry/semantic-conventions@1.25.1","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js"
"@opentelemetry/semantic-conventions@1.28.0","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js"
"@opentelemetry/semantic-conventions@1.30.0","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js"
"@opentelemetry/sql-common@0.40.1","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js-contrib"
"@parcel/watcher-darwin-arm64@2.5.1","MIT","https://github.com/parcel-bundler/watcher"
"@parcel/watcher-wasm@2.5.1","MIT","https://github.com/parcel-bundler/watcher"
"@parcel/watcher@2.5.1","MIT","https://github.com/parcel-bundler/watcher"
"@pkgjs/parseargs@0.11.0","MIT","https://github.com/pkgjs/parseargs"
"@pkgr/core@0.1.1","MIT","https://github.com/un-ts/pkgr"
"@polka/url@1.0.0-next.28","MIT","https://github.com/lukeed/polka"
"@protobufjs/aspromise@1.1.2","BSD-3-Clause","https://github.com/dcodeIO/protobuf.js"
"@protobufjs/base64@1.1.2","BSD-3-Clause","https://github.com/dcodeIO/protobuf.js"
